student_id,excused_absences,unexcused_absences,behavior_score,conduct_grade,teacher_remarks
S026,3,2,73,Khá,"Ngoan ngoãn nhưng còn trầm, ít phát biểu, lực học ở mức trung bình."
S027,0,0,86,Tốt,"Rất năng nổ, trách nhiệm cao trong công việc chung của lớp, kết quả xuất sắc."
S028,2,0,95,Tốt,"Chăm ngoan, học giỏi, có tư duy sáng tạo tốt, tích cực phát biểu xây dựng bài."
S029,2,2,83,Khá,"Ý thức học tập tốt, có tiến bộ nhiều trong học kỳ này, hòa đồng với bạn bè."
S030,1,2,82,Khá,"Ý thức học tập tốt, có tiến bộ nhiều trong học kỳ này, hòa đồng với bạn bè."
S031,4,2,83,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S032,1,1,70,Khá,"Ngoan ngoãn nhưng còn trầm, ít phát biểu, lực học ở mức trung bình."
S033,2,1,75,Khá,"Ý thức học tập tốt, có tiến bộ nhiều trong học kỳ này, hòa đồng với bạn bè."
S034,3,0,81,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S035,2,2,78,Khá,"Có ý thức kỷ luật tốt, tiếp thu bài nhanh, cần phát huy hơn môn Lý Hóa."
S036,5,0,69,Khá,"Còn đi học muộn vài lần, chưa hoàn thành đầy đủ bài tập về nhà môn Anh."
S037,2,1,78,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S038,5,0,79,Khá,"Có ý thức kỷ luật tốt, tiếp thu bài nhanh, cần phát huy hơn môn Lý Hóa."
S039,4,1,79,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S040,1,0,72,Khá,"Cần cố gắng tập trung hơn nữa, hạn chế nói chuyện riêng trong lớp."
S041,3,0,79,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S042,3,2,77,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S043,3,1,80,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S044,1,1,66,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S045,5,2,65,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S046,2,0,90,Tốt,"Học sinh xuất sắc toàn diện, gương mẫu, tích cực trong mọi phong trào."
S047,2,2,81,Khá,"Ý thức học tập tốt, có tiến bộ nhiều trong học kỳ này, hòa đồng với bạn bè."
S048,1,0,98,Tốt,"Học sinh xuất sắc toàn diện, gương mẫu, tích cực trong mọi phong trào."
S049,1,0,76,Khá,"Có ý thức kỷ luật tốt, tiếp thu bài nhanh, cần phát huy hơn môn Lý Hóa."
S050,1,0,99,Tốt,"Lớp trưởng gương mẫu, học tốt, tác phong nhanh nhẹn, giúp đỡ bạn bè tốt."
S051,4,1,66,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S052,1,0,78,Khá,"Có ý thức kỷ luật tốt, tiếp thu bài nhanh, cần phát huy hơn môn Lý Hóa."
S053,5,0,84,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
S054,4,9,61,Trung bình,"Vi phạm quy chế lớp nhiều lần, nghỉ học vô tội vạ, cần gia đình phối hợp sát sao."
S055,5,2,72,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S056,5,1,72,Khá,"Còn đi học muộn vài lần, chưa hoàn thành đầy đủ bài tập về nhà môn Anh."
S057,0,0,99,Tốt,"Lớp trưởng gương mẫu, học tốt, tác phong nhanh nhẹn, giúp đỡ bạn bè tốt."
S058,5,0,74,Khá,"Cần cố gắng tập trung hơn nữa, hạn chế nói chuyện riêng trong lớp."
S059,2,5,43,Yếu,"Thường xuyên đi muộn, chưa hoàn thành bài tập môn Toán và Lý, cần chú ý kỷ luật."
S060,2,0,92,Tốt,"Chăm ngoan, học giỏi, có tư duy sáng tạo tốt, tích cực phát biểu xây dựng bài."
S061,2,0,69,Khá,"Cần cố gắng tập trung hơn nữa, hạn chế nói chuyện riêng trong lớp."
S062,1,1,78,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
S063,5,6,41,Yếu,"Vi phạm quy chế lớp nhiều lần, nghỉ học vô tội vạ, cần gia đình phối hợp sát sao."
S064,3,2,70,Khá,"Còn đi học muộn vài lần, chưa hoàn thành đầy đủ bài tập về nhà môn Anh."
S065,0,0,91,Tốt,"Học sinh xuất sắc toàn diện, gương mẫu, tích cực trong mọi phong trào."
S066,1,0,83,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
S067,6,10,46,Yếu,"Thường xuyên đi muộn, chưa hoàn thành bài tập môn Toán và Lý, cần chú ý kỷ luật."
S068,0,0,90,Tốt,"Rất năng nổ, trách nhiệm cao trong công việc chung của lớp, kết quả xuất sắc."
S069,3,0,67,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S070,4,1,78,Khá,"Ý thức học tập tốt, có tiến bộ nhiều trong học kỳ này, hòa đồng với bạn bè."
S071,5,0,83,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
S072,2,2,83,Khá,"Có ý thức kỷ luật tốt, tiếp thu bài nhanh, cần phát huy hơn môn Lý Hóa."
S073,2,0,89,Tốt,"Lớp trưởng gương mẫu, học tốt, tác phong nhanh nhẹn, giúp đỡ bạn bè tốt."
S074,1,0,85,Tốt,"Rất năng nổ, trách nhiệm cao trong công việc chung của lớp, kết quả xuất sắc."
S075,5,0,74,Khá,"Còn đi học muộn vài lần, chưa hoàn thành đầy đủ bài tập về nhà môn Anh."
S076,2,0,71,Khá,"Ngoan ngoãn nhưng còn trầm, ít phát biểu, lực học ở mức trung bình."
S077,5,2,80,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
S078,2,0,89,Tốt,"Rất năng nổ, trách nhiệm cao trong công việc chung của lớp, kết quả xuất sắc."
S079,5,0,73,Khá,"Ngoan ngoãn nhưng còn trầm, ít phát biểu, lực học ở mức trung bình."
S080,2,2,81,Khá,"Ý thức học tập tốt, có tiến bộ nhiều trong học kỳ này, hòa đồng với bạn bè."
S081,2,1,75,Khá,"Có ý thức kỷ luật tốt, tiếp thu bài nhanh, cần phát huy hơn môn Lý Hóa."
S082,5,1,69,Khá,"Còn đi học muộn vài lần, chưa hoàn thành đầy đủ bài tập về nhà môn Anh."
S083,2,1,75,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
S084,1,0,76,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S085,5,0,68,Khá,"Ngoan ngoãn nhưng còn trầm, ít phát biểu, lực học ở mức trung bình."
S086,5,0,65,Khá,"Ngoan ngoãn nhưng còn trầm, ít phát biểu, lực học ở mức trung bình."
S087,4,1,83,Khá,"Có ý thức kỷ luật tốt, tiếp thu bài nhanh, cần phát huy hơn môn Lý Hóa."
S088,1,2,79,Khá,"Ý thức học tập tốt, có tiến bộ nhiều trong học kỳ này, hòa đồng với bạn bè."
S089,5,0,68,Khá,"Còn đi học muộn vài lần, chưa hoàn thành đầy đủ bài tập về nhà môn Anh."
S090,1,0,70,Khá,"Cần cố gắng tập trung hơn nữa, hạn chế nói chuyện riêng trong lớp."
S091,2,0,91,Tốt,"Chăm ngoan, học giỏi, có tư duy sáng tạo tốt, tích cực phát biểu xây dựng bài."
S092,7,3,44,Yếu,"Thường xuyên đi muộn, chưa hoàn thành bài tập môn Toán và Lý, cần chú ý kỷ luật."
S093,2,0,71,Khá,"Cần cố gắng tập trung hơn nữa, hạn chế nói chuyện riêng trong lớp."
S094,2,0,90,Tốt,"Học sinh xuất sắc toàn diện, gương mẫu, tích cực trong mọi phong trào."
S095,3,2,75,Khá,"Có ý thức kỷ luật tốt, tiếp thu bài nhanh, cần phát huy hơn môn Lý Hóa."
S096,7,8,63,Trung bình,"Nghỉ học nhiều không phép, thái độ học tập chưa tốt, cần gia đình nhắc nhở gấp."
S097,4,9,57,Trung bình,"Nghỉ học nhiều không phép, thái độ học tập chưa tốt, cần gia đình nhắc nhở gấp."
S098,3,10,40,Yếu,"Thường xuyên đi muộn, chưa hoàn thành bài tập môn Toán và Lý, cần chú ý kỷ luật."
S099,5,2,72,Khá,"Cần cố gắng tập trung hơn nữa, hạn chế nói chuyện riêng trong lớp."
S100,2,1,81,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S101,2,0,76,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
S102,5,2,77,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
S103,6,3,55,Trung bình,"Vi phạm quy chế lớp nhiều lần, nghỉ học vô tội vạ, cần gia đình phối hợp sát sao."
S104,1,2,74,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S105,1,0,69,Khá,"Ngoan ngoãn nhưng còn trầm, ít phát biểu, lực học ở mức trung bình."
S106,1,0,71,Khá,"Còn đi học muộn vài lần, chưa hoàn thành đầy đủ bài tập về nhà môn Anh."
S107,5,1,78,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
S108,5,9,52,Trung bình,"Thường xuyên đi muộn, chưa hoàn thành bài tập môn Toán và Lý, cần chú ý kỷ luật."
S109,3,1,74,Khá,"Cần cố gắng tập trung hơn nữa, hạn chế nói chuyện riêng trong lớp."
S110,2,0,75,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S111,4,0,71,Khá,"Ngoan ngoãn nhưng còn trầm, ít phát biểu, lực học ở mức trung bình."
S112,2,1,69,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S113,7,8,42,Yếu,"Nghỉ học nhiều không phép, thái độ học tập chưa tốt, cần gia đình nhắc nhở gấp."
S114,3,0,71,Khá,"Còn đi học muộn vài lần, chưa hoàn thành đầy đủ bài tập về nhà môn Anh."
S115,2,2,65,Khá,"Ngoan ngoãn nhưng còn trầm, ít phát biểu, lực học ở mức trung bình."
S116,2,0,95,Tốt,"Chăm ngoan, học giỏi, có tư duy sáng tạo tốt, tích cực phát biểu xây dựng bài."
S117,4,2,68,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S118,2,0,93,Tốt,"Chăm ngoan, học giỏi, có tư duy sáng tạo tốt, tích cực phát biểu xây dựng bài."
S119,1,0,79,Khá,"Có ý thức kỷ luật tốt, tiếp thu bài nhanh, cần phát huy hơn môn Lý Hóa."
S120,5,1,73,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S121,4,0,83,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S122,0,0,85,Tốt,"Chăm ngoan, học giỏi, có tư duy sáng tạo tốt, tích cực phát biểu xây dựng bài."
S123,1,0,80,Khá,"Ý thức học tập tốt, có tiến bộ nhiều trong học kỳ này, hòa đồng với bạn bè."
S124,5,2,81,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
S125,6,9,62,Trung bình,"Thường xuyên đi muộn, chưa hoàn thành bài tập môn Toán và Lý, cần chú ý kỷ luật."
S126,1,2,84,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
S127,2,10,57,Trung bình,"Thường xuyên đi muộn, chưa hoàn thành bài tập môn Toán và Lý, cần chú ý kỷ luật."
S128,2,0,71,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S129,1,0,72,Khá,"Ngoan ngoãn nhưng còn trầm, ít phát biểu, lực học ở mức trung bình."
S130,5,0,75,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S131,0,0,86,Tốt,"Học sinh xuất sắc toàn diện, gương mẫu, tích cực trong mọi phong trào."
S132,4,1,68,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S133,5,1,82,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
S134,5,0,72,Khá,"Còn đi học muộn vài lần, chưa hoàn thành đầy đủ bài tập về nhà môn Anh."
S135,4,2,83,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
S136,3,2,78,Khá,"Có ý thức kỷ luật tốt, tiếp thu bài nhanh, cần phát huy hơn môn Lý Hóa."
S137,1,0,73,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S138,3,1,65,Khá,"Còn đi học muộn vài lần, chưa hoàn thành đầy đủ bài tập về nhà môn Anh."
S139,2,0,90,Tốt,"Rất năng nổ, trách nhiệm cao trong công việc chung của lớp, kết quả xuất sắc."
S140,4,2,72,Khá,"Còn đi học muộn vài lần, chưa hoàn thành đầy đủ bài tập về nhà môn Anh."
S141,4,2,81,Khá,"Ý thức học tập tốt, có tiến bộ nhiều trong học kỳ này, hòa đồng với bạn bè."
S142,3,1,80,Khá,"Có ý thức kỷ luật tốt, tiếp thu bài nhanh, cần phát huy hơn môn Lý Hóa."
S143,1,2,68,Khá,"Ngoan ngoãn nhưng còn trầm, ít phát biểu, lực học ở mức trung bình."
S144,3,2,69,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S145,4,1,72,Khá,"Còn đi học muộn vài lần, chưa hoàn thành đầy đủ bài tập về nhà môn Anh."
S146,1,2,65,Khá,"Ngoan ngoãn nhưng còn trầm, ít phát biểu, lực học ở mức trung bình."
S147,1,1,78,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S148,2,2,75,Khá,"Ý thức học tập tốt, có tiến bộ nhiều trong học kỳ này, hòa đồng với bạn bè."
S149,4,2,68,Khá,"Cần cố gắng tập trung hơn nữa, hạn chế nói chuyện riêng trong lớp."
S150,4,1,76,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S151,2,0,88,Tốt,"Học sinh xuất sắc toàn diện, gương mẫu, tích cực trong mọi phong trào."
S152,6,8,55,Trung bình,"Ý thức tổ chức kỷ luật chưa cao, hay nói chuyện riêng, lực học yếu kém."
S153,1,0,71,Khá,"Cần cố gắng tập trung hơn nữa, hạn chế nói chuyện riêng trong lớp."
S154,1,1,66,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S155,4,1,84,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S156,2,0,84,Khá,"Ý thức học tập tốt, có tiến bộ nhiều trong học kỳ này, hòa đồng với bạn bè."
S157,3,2,67,Khá,"Ngoan ngoãn nhưng còn trầm, ít phát biểu, lực học ở mức trung bình."
S158,2,0,99,Tốt,"Học sinh xuất sắc toàn diện, gương mẫu, tích cực trong mọi phong trào."
S159,5,0,78,Khá,"Ý thức học tập tốt, có tiến bộ nhiều trong học kỳ này, hòa đồng với bạn bè."
S160,4,0,71,Khá,"Ngoan ngoãn nhưng còn trầm, ít phát biểu, lực học ở mức trung bình."
S161,2,0,90,Tốt,"Học sinh xuất sắc toàn diện, gương mẫu, tích cực trong mọi phong trào."
S162,4,9,43,Yếu,"Vi phạm quy chế lớp nhiều lần, nghỉ học vô tội vạ, cần gia đình phối hợp sát sao."
S163,4,3,52,Trung bình,"Nghỉ học nhiều không phép, thái độ học tập chưa tốt, cần gia đình nhắc nhở gấp."
S164,3,1,84,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
S165,5,1,77,Khá,"Ý thức học tập tốt, có tiến bộ nhiều trong học kỳ này, hòa đồng với bạn bè."
S166,2,0,87,Tốt,"Lớp trưởng gương mẫu, học tốt, tác phong nhanh nhẹn, giúp đỡ bạn bè tốt."
S167,7,9,62,Trung bình,"Ý thức tổ chức kỷ luật chưa cao, hay nói chuyện riêng, lực học yếu kém."
S168,0,0,92,Tốt,"Chăm ngoan, học giỏi, có tư duy sáng tạo tốt, tích cực phát biểu xây dựng bài."
S169,4,2,75,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S170,5,1,67,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S171,5,0,79,Khá,"Có ý thức kỷ luật tốt, tiếp thu bài nhanh, cần phát huy hơn môn Lý Hóa."
S172,5,0,67,Khá,"Còn đi học muộn vài lần, chưa hoàn thành đầy đủ bài tập về nhà môn Anh."
S173,0,0,95,Tốt,"Học sinh xuất sắc toàn diện, gương mẫu, tích cực trong mọi phong trào."
S174,2,1,72,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S175,3,1,66,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S176,2,0,86,Tốt,"Rất năng nổ, trách nhiệm cao trong công việc chung của lớp, kết quả xuất sắc."
S177,4,2,69,Khá,"Ngoan ngoãn nhưng còn trầm, ít phát biểu, lực học ở mức trung bình."
S178,2,1,81,Khá,"Có ý thức kỷ luật tốt, tiếp thu bài nhanh, cần phát huy hơn môn Lý Hóa."
S179,3,1,70,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S180,7,8,55,Trung bình,"Vi phạm quy chế lớp nhiều lần, nghỉ học vô tội vạ, cần gia đình phối hợp sát sao."
S181,0,0,89,Tốt,"Chăm ngoan, học giỏi, có tư duy sáng tạo tốt, tích cực phát biểu xây dựng bài."
S182,3,0,76,Khá,"Có ý thức kỷ luật tốt, tiếp thu bài nhanh, cần phát huy hơn môn Lý Hóa."
S183,2,0,92,Tốt,"Học sinh xuất sắc toàn diện, gương mẫu, tích cực trong mọi phong trào."
S184,6,5,57,Trung bình,"Thường xuyên đi muộn, chưa hoàn thành bài tập môn Toán và Lý, cần chú ý kỷ luật."
S185,3,8,47,Yếu,"Vi phạm quy chế lớp nhiều lần, nghỉ học vô tội vạ, cần gia đình phối hợp sát sao."
S186,4,0,84,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
S187,3,2,69,Khá,"Cần cố gắng tập trung hơn nữa, hạn chế nói chuyện riêng trong lớp."
S188,3,1,77,Khá,"Ý thức học tập tốt, có tiến bộ nhiều trong học kỳ này, hòa đồng với bạn bè."
S189,4,9,46,Yếu,"Nghỉ học nhiều không phép, thái độ học tập chưa tốt, cần gia đình nhắc nhở gấp."
S190,4,0,80,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S191,2,1,71,Khá,"Cần cố gắng tập trung hơn nữa, hạn chế nói chuyện riêng trong lớp."
S192,2,0,95,Tốt,"Chăm ngoan, học giỏi, có tư duy sáng tạo tốt, tích cực phát biểu xây dựng bài."
S193,1,0,94,Tốt,"Học sinh xuất sắc toàn diện, gương mẫu, tích cực trong mọi phong trào."
S194,5,1,79,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S195,4,2,74,Khá,"Ngoan ngoãn nhưng còn trầm, ít phát biểu, lực học ở mức trung bình."
S196,1,1,79,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
S197,2,0,80,Khá,"Chăm ngoan, học lực khá giỏi, đi học đầy đủ và đúng giờ."
S198,2,1,66,Khá,"Ngoan ngoãn nhưng còn trầm, ít phát biểu, lực học ở mức trung bình."
S199,4,1,84,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
S200,5,0,66,Khá,"Ngoan ngoãn nhưng còn trầm, ít phát biểu, lực học ở mức trung bình."
S201,1,2,72,Khá,"Học lực trung bình khá, đôi lúc còn chưa tập trung nghe giảng."
S202,4,1,67,Khá,"Cần cố gắng tập trung hơn nữa, hạn chế nói chuyện riêng trong lớp."
S203,3,1,76,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
S204,1,1,70,Khá,"Cần cố gắng tập trung hơn nữa, hạn chế nói chuyện riêng trong lớp."
S205,1,1,78,Khá,"Ý thức học tập tốt, có tiến bộ nhiều trong học kỳ này, hòa đồng với bạn bè."
S206,1,1,65,Khá,"Cần cố gắng tập trung hơn nữa, hạn chế nói chuyện riêng trong lớp."
S207,4,0,70,Khá,"Cần cố gắng tập trung hơn nữa, hạn chế nói chuyện riêng trong lớp."
S208,1,1,73,Khá,"Cần cố gắng tập trung hơn nữa, hạn chế nói chuyện riêng trong lớp."
S209,5,7,64,Trung bình,"Ý thức tổ chức kỷ luật chưa cao, hay nói chuyện riêng, lực học yếu kém."
S210,2,0,94,Tốt,"Chăm ngoan, học giỏi, có tư duy sáng tạo tốt, tích cực phát biểu xây dựng bài."
S211,5,0,80,Khá,"Ý thức học tập tốt, có tiến bộ nhiều trong học kỳ này, hòa đồng với bạn bè."
S212,2,0,77,Khá,"Ngoan ngoãn, lễ phép, hoàn thành tốt các nhiệm vụ được giao."
