student_id,subject,factor_1,factor_2,factor_3,gpa
S010,History,7.6;7.3,5.7,5.6,6.16
S010,Geography,7.7;8.2,7.7,6.2,7.13
S011,Math,6.5;6.2,7.7,7.4,7.19
S011,Literature,6.7;6.9,6.4,6.7,6.64
S011,English,7.9;6.1,5.0,7.0,6.43
S011,Physics,7.7;5.5,7.8,8.3,7.67
S011,Chemistry,7.5;7.3,7.4,6.5,7.01
S011,Biology,6.0;7.8,5.7,6.6,6.43
S011,History,8.0;6.5,7.5,5.7,6.66
S011,Geography,8.4;8.3,6.5,7.9,7.63
S012,Math,6.9;6.9,7.0,5.3,6.24
S012,Literature,7.2;6.0,7.8,7.2,7.2
S012,English,6.0;7.8,7.2,5.2,6.26
S012,Physics,6.2;7.9,8.0,7.0,7.3
S012,Chemistry,5.8;6.8,7.4,6.2,6.57
S012,Biology,7.7;5.6,6.5,7.2,6.84
S012,History,7.7;6.6,5.0,7.8,6.81
S012,Geography,6.9;7.0,7.6,5.0,6.3
S013,Math,9.2;9.7,8.7,9.2,9.13
S013,Literature,9.3;9.6,8.7,9.8,9.39
S013,English,9.8;9.5,8.3,9.9,9.37
S013,Physics,9.5;10.0,9.2,9.7,9.57
S013,Chemistry,9.6;9.1,8.5,9.3,9.09
S013,Biology,9.7;9.3,9.5,9.3,9.41
S013,History,8.0;8.6,8.6,9.3,8.81
S013,Geography,8.2;8.9,8.2,9.8,8.99
S014,Math,7.0;6.8,8.0,7.3,7.39
S014,Literature,6.5;6.7,7.4,8.0,7.43
S014,English,8.5;6.2,5.4,6.3,6.34
S014,Physics,8.0;8.2,5.7,5.7,6.39
S014,Chemistry,5.8;8.0,7.2,6.9,6.99
S014,Biology,7.6;6.9,7.0,5.0,6.21
S014,History,7.3;7.1,7.3,7.6,7.4
S014,Geography,6.4;7.6,7.3,6.5,6.87
S015,Math,9.1;9.4,8.3,9.0,8.87
S015,Literature,9.1;8.4,9.6,9.7,9.4
S015,English,9.4;8.2,9.3,8.7,8.9
S015,Physics,9.4;8.5,8.3,9.5,9.0
S015,Chemistry,8.9;9.8,9.2,9.7,9.46
S015,Biology,8.5;9.6,8.3,9.9,9.2
S015,History,9.5;9.7,8.6,9.9,9.44
S015,Geography,8.3;9.2,10.0,8.9,9.17
S016,Math,6.8;7.9,7.5,8.3,7.8
S016,Literature,6.1;5.7,6.0,7.6,6.66
S016,English,6.9;7.5,7.7,6.5,7.04
S016,Physics,6.0;5.6,5.7,8.1,6.76
S016,Chemistry,7.3;5.8,6.2,6.3,6.34
S016,Biology,7.7;6.2,5.5,8.1,7.03
S016,History,7.5;5.7,5.9,7.7,6.87
S016,Geography,6.6;8.3,7.4,6.7,7.11
S017,Math,7.8;6.1,7.3,6.8,6.99
S017,Literature,5.6;7.2,6.7,7.8,7.09
S017,English,6.7;5.5,5.0,6.0,5.74
S017,Physics,6.8;5.6,6.4,7.0,6.6
S017,Chemistry,5.8;7.2,6.3,8.2,7.17
S017,Biology,7.1;5.9,5.9,6.2,6.2
S017,History,6.3;5.8,7.1,7.3,6.89
S017,Geography,6.2;7.2,7.3,5.9,6.53
S018,Math,3.3;6.4,5.8,5.7,5.49
S018,Literature,4.9;3.6,3.8,3.0,3.59
S018,English,5.9;5.8,5.5,5.8,5.73
S018,Physics,6.5;5.2,3.4,5.7,5.09
S018,Chemistry,4.7;3.1,3.7,2.6,3.29
S018,Biology,4.1;3.9,5.2,5.5,4.99
S018,History,4.0;3.3,4.3,5.6,4.67
S018,Geography,3.5;3.9,4.9,5.2,4.69
S019,Math,7.8;6.0,8.0,5.5,6.61
S019,Literature,7.8;6.0,6.8,7.8,7.26
S019,English,7.7;7.2,5.7,5.8,6.24
S019,Physics,6.3;7.3,6.1,5.3,5.96
S019,Chemistry,7.2;6.0,5.1,8.2,6.86
S019,Biology,6.1;7.0,7.2,5.7,6.37
S019,History,8.0;6.5,5.9,7.2,6.84
S019,Geography,7.0;5.9,6.2,8.1,7.09
S020,Math,6.7;7.5,5.9,7.3,6.84
S020,Literature,6.7;7.7,7.9,6.0,6.89
S020,English,7.4;6.7,5.7,7.3,6.77
S020,Physics,8.3;8.5,5.1,6.0,6.43
S020,Chemistry,7.8;5.6,6.7,5.4,6.14
S020,Biology,6.9;7.1,5.3,7.3,6.64
S020,History,7.7;6.8,7.4,6.2,6.84
S020,Geography,5.6;8.0,7.5,7.9,7.47
S021,Math,7.2;7.8,7.4,5.4,6.57
S021,Literature,7.5;6.9,6.5,6.2,6.57
S021,English,7.1;8.1,5.5,6.9,6.7
S021,Physics,8.2;6.2,5.6,5.0,5.8
S021,Chemistry,5.7;8.1,5.2,5.7,5.9
S021,Biology,8.0;8.4,5.4,7.2,6.97
S021,History,7.3;6.3,8.0,7.8,7.57
S021,Geography,7.2;8.0,5.6,7.1,6.81
S022,Math,7.4;5.8,5.3,7.8,6.74
S022,Literature,8.3;7.5,7.1,5.7,6.73
S022,English,6.9;6.4,5.2,7.1,6.43
S022,Physics,6.2;6.5,5.9,5.5,5.86
S022,Chemistry,6.2;7.1,5.1,6.8,6.27
S022,Biology,6.1;6.8,7.2,6.7,6.77
S022,History,6.5;6.2,6.2,7.2,6.67
S022,Geography,6.4;6.2,6.6,6.7,6.56
S023,Math,7.5;6.6,5.1,7.5,6.69
S023,Literature,6.7;7.3,6.5,5.5,6.21
S023,English,7.2;8.4,6.4,5.4,6.37
S023,Physics,6.9;7.7,7.9,6.1,6.96
S023,Chemistry,6.6;6.9,7.8,7.6,7.41
S023,Biology,8.2;6.4,7.5,7.1,7.27
S023,History,7.8;7.1,6.2,5.0,6.04
S023,Geography,5.9;6.6,6.0,8.3,7.06
S024,Math,7.1;6.0,5.8,8.1,7.0
S024,Literature,6.3;7.1,6.3,7.3,6.84
S024,English,7.3;6.1,6.7,8.5,7.47
S024,Physics,5.9;7.6,6.3,6.8,6.64
S024,Chemistry,6.2;5.9,6.4,5.0,5.7
S024,Biology,5.9;8.3,8.0,7.4,7.49
S024,History,6.5;5.7,7.3,5.8,6.31
S024,Geography,8.5;7.8,5.1,7.3,6.91
S025,Math,6.8;5.8,6.7,5.4,6.03
S025,Literature,5.7;7.7,6.6,7.2,6.89
S025,English,7.4;5.6,5.6,6.0,6.03
S025,Physics,5.9;6.1,7.3,6.8,6.71
S025,Chemistry,8.1;8.2,7.4,6.1,7.06
S025,Biology,5.7;8.3,7.7,6.8,7.11
S025,History,5.5;6.4,5.9,5.9,5.91
S025,Geography,6.3;6.5,5.7,6.9,6.41
S026,Math,7.9;7.2,7.8,6.1,7.0
S026,Literature,8.2;8.2,6.3,7.8,7.49
S026,English,6.8;6.8,6.7,6.4,6.6
S026,Physics,6.0;7.5,5.9,6.1,6.23
S026,Chemistry,6.3;7.5,5.3,7.8,6.83
S026,Biology,8.1;8.3,5.3,5.0,6.0
S026,History,6.1;6.7,5.8,7.7,6.79
S026,Geography,6.5;6.8,6.1,8.3,7.2
S027,Math,9.9;9.2,8.8,8.8,9.01
S027,Literature,8.8;8.6,8.8,9.2,8.94
S027,English,9.5;8.8,9.7,9.9,9.63
S027,Physics,8.1;9.2,8.6,8.9,8.74
S027,Chemistry,9.9;8.1,9.2,8.7,8.93
S027,Biology,9.7;8.5,8.0,9.5,8.96
S027,History,9.1;9.8,8.7,9.8,9.39
S027,Geography,9.6;8.4,9.3,9.0,9.09
S028,Math,9.4;9.5,8.8,9.8,9.41
S028,Literature,9.4;8.3,9.3,9.1,9.09
S028,English,9.7;9.3,9.2,9.6,9.46
S028,Physics,8.9;9.6,9.7,8.8,9.19
S028,Chemistry,8.1;9.2,8.1,9.4,8.81
S028,Biology,9.2;9.5,9.6,9.5,9.49
S028,History,8.7;8.4,8.4,9.7,9.0
S028,Geography,9.5;8.4,8.7,9.4,9.07
S029,Math,6.6;6.9,7.3,5.9,6.54
S029,Literature,6.7;5.6,6.5,6.1,6.23
S029,English,7.5;6.3,5.4,7.8,6.86
S029,Physics,7.3;6.5,7.2,5.8,6.51
S029,Chemistry,8.1;7.2,7.4,6.8,7.21
S029,Biology,7.7;5.8,6.4,5.1,5.94
S029,History,8.5;6.6,6.4,8.4,7.59
S029,Geography,7.6;7.8,5.8,7.7,7.16
S030,Math,6.8;7.3,7.3,6.0,6.67
S030,Literature,6.2;7.8,7.8,7.2,7.31
S030,English,8.3;6.5,7.6,6.2,6.94
S030,Physics,5.6;7.6,7.4,6.1,6.61
S030,Chemistry,8.0;7.7,6.5,7.5,7.31
S030,Biology,5.7;7.5,6.0,7.4,6.77
S030,History,7.9;6.7,7.1,8.4,7.71
S030,Geography,6.6;7.7,7.3,5.6,6.53
S031,Math,7.2;7.8,5.4,6.1,6.3
S031,Literature,6.5;6.2,7.0,6.5,6.6
S031,English,7.6;7.6,5.6,5.3,6.04
S031,Physics,5.8;7.5,6.7,7.6,7.07
S031,Chemistry,6.6;8.1,6.3,7.2,6.99
S031,Biology,6.1;8.0,8.0,7.1,7.34
S031,History,7.8;5.6,7.6,7.9,7.47
S031,Geography,8.2;6.7,7.6,6.3,7.0
S032,Math,5.9;6.3,7.0,7.2,6.83
S032,Literature,7.4;6.7,5.8,7.3,6.8
S032,English,8.0;8.3,5.5,5.5,6.26
S032,Physics,8.2;7.0,5.3,5.7,6.13
S032,Chemistry,8.4;7.5,7.4,7.5,7.6
S032,Biology,6.3;7.0,5.4,8.3,7.0
S032,History,6.8;8.2,5.4,6.2,6.34
S032,Geography,6.5;8.3,6.5,8.4,7.57
S033,Math,7.1;7.4,5.8,5.3,6.0
S033,Literature,6.7;6.3,5.4,5.4,5.71
S033,English,6.4;5.6,7.6,5.9,6.41
S033,Physics,6.1;5.6,7.1,7.2,6.79
S033,Chemistry,6.4;8.3,5.1,6.7,6.43
S033,Biology,6.0;6.6,5.8,7.0,6.46
S033,History,6.4;6.0,5.7,8.2,6.91
S033,Geography,7.6;6.0,5.3,5.6,5.86
S034,Math,8.0;7.5,7.8,5.5,6.8
S034,Literature,6.5;5.7,7.2,7.6,7.06
S034,English,8.2;6.8,5.3,7.3,6.79
S034,Physics,8.2;5.9,5.9,8.1,7.17
S034,Chemistry,5.5;6.6,7.0,6.0,6.3
S034,Biology,7.4;6.8,5.4,7.9,6.96
S034,History,7.9;8.0,6.2,7.6,7.3
S034,Geography,7.8;6.2,7.0,5.5,6.36
S035,Math,7.6;6.4,7.1,6.4,6.77
S035,Literature,7.3;7.0,7.8,5.2,6.5
S035,English,6.1;8.4,6.8,6.4,6.76
S035,Physics,7.7;8.1,5.9,5.2,6.17
S035,Chemistry,8.2;6.0,5.4,6.1,6.19
S035,Biology,7.1;8.2,7.2,7.7,7.54
S035,History,7.1;7.3,7.4,6.7,7.04
S035,Geography,6.7;5.5,5.8,6.4,6.14
S036,Math,6.8;8.4,7.8,7.4,7.57
S036,Literature,7.8;6.8,7.0,6.0,6.66
S036,English,7.6;8.5,7.5,5.7,6.89
S036,Physics,7.9;8.1,7.3,7.2,7.46
S036,Chemistry,8.4;6.7,6.8,6.6,6.93
S036,Biology,6.3;8.2,6.3,7.2,6.96
S036,History,6.5;8.4,5.4,7.3,6.8
S036,Geography,7.8;8.5,7.0,5.5,6.69
S037,Math,6.2;6.1,6.3,7.5,6.77
S037,Literature,8.3;6.8,5.1,6.5,6.4
S037,English,6.6;7.1,5.1,5.3,5.69
S037,Physics,6.5;7.3,6.8,7.8,7.26
S037,Chemistry,8.0;7.3,6.2,6.8,6.87
S037,Biology,6.1;7.8,5.0,7.5,6.63
S037,History,6.2;7.0,5.3,7.9,6.79
S037,Geography,7.2;5.6,7.2,6.5,6.67
S038,Math,8.0;5.8,7.8,5.6,6.6
S038,Literature,5.8;6.3,6.0,8.5,7.09
S038,English,5.5;7.5,5.2,6.9,6.3
S038,Physics,7.2;7.3,6.4,7.5,7.11
S038,Chemistry,8.1;7.2,7.9,7.6,7.7
S038,Biology,6.2;7.8,5.9,7.0,6.69
S038,History,7.0;7.7,7.7,7.3,7.43
S038,Geography,7.6;8.3,5.1,5.9,6.26
S039,Math,5.6;6.4,7.8,8.1,7.41
S039,Literature,5.5;5.8,6.1,6.7,6.23
S039,English,7.3;6.3,7.3,5.3,6.3
S039,Physics,8.1;5.8,6.1,6.0,6.3
S039,Chemistry,7.8;6.3,6.4,6.8,6.76
S039,Biology,7.2;6.8,5.2,6.3,6.19
S039,History,7.4;8.5,7.0,8.1,7.74
S039,Geography,7.8;6.1,6.4,6.1,6.43
S040,Math,8.0;5.6,7.2,5.4,6.31
S040,Literature,7.5;7.2,6.0,8.3,7.37
S040,English,7.2;6.7,5.6,7.9,6.97
S040,Physics,7.6;7.9,5.5,5.1,5.97
S040,Chemistry,7.9;7.1,7.9,7.8,7.74
S040,Biology,7.6;8.5,7.4,6.3,7.11
S040,History,7.2;7.4,7.9,7.2,7.43
S040,Geography,5.5;7.4,7.1,7.3,7.0
S041,Math,7.4;6.5,5.0,8.2,6.93
S041,Literature,6.0;6.5,6.4,7.7,6.91
S041,English,6.4;5.9,7.7,6.6,6.79
S041,Physics,6.2;5.9,5.0,5.3,5.43
S041,Chemistry,6.3;7.3,5.4,8.2,7.0
S041,Biology,8.4;5.9,7.3,7.2,7.21
S041,History,6.5;5.8,6.3,7.1,6.6
S041,Geography,6.2;7.3,5.9,7.5,6.83
S042,Math,6.0;7.1,6.5,8.3,7.29
S042,Literature,8.0;7.7,7.3,7.9,7.71
S042,English,7.6;5.5,7.3,7.9,7.34
S042,Physics,8.4;6.6,7.5,7.5,7.5
S042,Chemistry,7.5;6.8,7.5,7.0,7.19
S042,Biology,5.5;7.2,5.6,5.2,5.64
S042,History,7.2;6.9,6.6,5.4,6.21
S042,Geography,6.6;7.7,5.2,7.6,6.79
S043,Math,8.4;6.8,7.6,7.2,7.43
S043,Literature,7.6;6.0,7.9,7.3,7.33
S043,English,8.0;6.2,5.4,5.8,6.06
S043,Physics,7.3;7.5,5.8,7.9,7.16
S043,Chemistry,6.5;6.0,5.3,6.7,6.17
S043,Biology,6.6;8.4,7.4,6.8,7.17
S043,History,7.1;5.9,7.4,5.8,6.46
S043,Geography,6.3;6.6,7.2,7.3,7.03
S044,Math,7.7;7.0,7.6,7.5,7.49
S044,Literature,7.7;6.7,7.3,8.1,7.61
S044,English,6.8;6.0,6.3,7.3,6.76
S044,Physics,5.6;8.2,5.8,6.2,6.29
S044,Chemistry,8.0;6.7,8.0,8.3,7.94
S044,Biology,7.6;7.5,7.0,8.4,7.76
S044,History,6.5;6.4,7.3,6.7,6.8
S044,Geography,8.1;6.5,7.1,5.9,6.64
S045,Math,7.2;8.2,6.7,8.2,7.63
S045,Literature,6.5;7.7,6.3,6.9,6.79
S045,English,6.7;6.4,7.8,7.0,7.1
S045,Physics,5.9;6.8,5.5,6.0,5.96
S045,Chemistry,8.3;7.9,5.4,5.1,6.04
S045,Biology,5.5;5.6,7.9,5.8,6.33
S045,History,7.2;7.8,6.9,7.0,7.11
S045,Geography,7.9;7.5,5.9,6.8,6.8
S046,Math,9.5;9.8,8.8,10.0,9.56
S046,Literature,9.0;8.6,8.7,9.6,9.11
S046,English,9.9;9.8,8.9,9.6,9.47
S046,Physics,9.4;9.6,9.9,9.7,9.7
S046,Chemistry,9.2;8.4,8.6,9.4,9.0
S046,Biology,8.8;9.7,9.7,9.2,9.36
S046,History,8.8;8.9,9.5,9.7,9.4
S046,Geography,9.9;9.8,8.8,9.0,9.19
S047,Math,7.1;5.6,5.1,6.0,5.84
S047,Literature,6.4;6.6,5.0,6.2,5.94
S047,English,6.8;7.1,6.2,6.7,6.63
S047,Physics,6.0;8.0,7.7,8.0,7.63
S047,Chemistry,5.8;8.2,6.0,5.6,6.11
S047,Biology,5.7;6.0,6.7,7.2,6.67
S047,History,5.6;7.3,5.6,5.8,5.93
S047,Geography,5.9;7.9,7.9,6.2,6.89
S048,Math,9.0;9.5,9.3,9.5,9.37
S048,Literature,9.2;8.9,9.9,8.7,9.14
S048,English,9.2;8.5,9.3,9.7,9.34
S048,Physics,9.2;9.1,9.1,9.9,9.46
S048,Chemistry,8.6;9.5,8.7,9.5,9.14
S048,Biology,8.6;8.6,8.3,9.2,8.77
S048,History,9.6;9.7,8.3,9.6,9.24
S048,Geography,9.8;9.9,8.8,8.8,9.1
S049,Math,7.1;8.4,7.7,6.3,7.11
S049,Literature,5.5;6.5,7.6,6.5,6.67
S049,English,7.2;7.5,7.2,6.5,6.94
S049,Physics,7.2;7.4,5.9,6.5,6.56
S049,Chemistry,7.7;7.3,7.6,6.9,7.27
S049,Biology,6.6;5.7,6.0,8.5,7.11
S049,History,6.4;6.9,6.0,6.9,6.57
S049,Geography,5.9;8.2,7.7,8.3,7.77
S050,Math,8.0;8.5,9.2,9.3,8.97
S050,Literature,10.0;9.9,8.1,9.9,9.4
S050,English,9.1;8.5,9.2,9.6,9.26
S050,Physics,9.7;8.7,8.2,8.8,8.74
S050,Chemistry,9.2;8.0,9.7,9.4,9.26
S050,Biology,9.2;9.3,9.7,9.4,9.44
S050,History,9.7;8.6,9.6,9.7,9.51
S050,Geography,8.8;9.0,9.9,9.4,9.4
S051,Math,8.0;7.4,7.0,7.0,7.2
S051,Literature,6.1;7.3,6.5,5.9,6.3
S051,English,8.0;6.8,6.9,7.4,7.26
S051,Physics,7.0;6.0,5.1,7.7,6.61
S051,Chemistry,6.4;6.8,7.3,6.6,6.8
S051,Biology,7.9;5.7,8.0,5.4,6.54
S051,History,8.3;6.7,7.5,6.3,6.99
S051,Geography,8.5;6.2,6.1,6.4,6.59
S052,Math,6.1;5.9,7.6,5.4,6.2
S052,Literature,6.7;5.8,5.6,7.4,6.56
S052,English,7.2;7.4,5.6,7.2,6.77
S052,Physics,6.1;8.0,5.7,7.2,6.73
S052,Chemistry,6.1;8.2,7.6,5.4,6.53
S052,Biology,7.6;5.7,7.3,6.0,6.56
S052,History,6.6;8.2,7.9,7.3,7.5
S052,Geography,6.7;6.2,7.7,6.3,6.74
S053,Math,6.5;8.1,7.2,7.0,7.14
S053,Literature,7.2;8.4,6.2,8.1,7.47
S053,English,8.3;6.1,6.4,8.1,7.36
S053,Physics,6.0;6.4,6.4,6.6,6.43
S053,Chemistry,6.2;7.5,6.1,6.8,6.61
S053,Biology,7.5;8.2,6.0,5.5,6.31
S053,History,6.7;7.9,6.8,5.2,6.26
S053,Geography,6.8;7.8,6.1,7.2,6.91
S054,Math,5.3;4.7,4.5,3.4,4.17
S054,Literature,3.9;6.1,4.2,4.6,4.6
S054,English,6.1;6.5,3.2,6.0,5.29
S054,Physics,3.6;5.3,5.3,3.5,4.29
S054,Chemistry,6.0;3.3,4.4,2.6,3.7
S054,Biology,4.7;4.8,3.6,2.8,3.59
S054,History,3.4;4.3,4.6,3.9,4.09
S054,Geography,6.4;3.2,5.4,3.7,4.5
S055,Math,7.9;8.5,5.1,6.8,6.71
S055,Literature,6.5;7.8,5.2,6.7,6.4
S055,English,5.7;6.8,6.8,6.7,6.6
S055,Physics,8.0;6.6,5.8,6.2,6.4
S055,Chemistry,7.2;6.9,5.1,5.8,5.96
S055,Biology,7.7;7.8,5.2,6.6,6.53
S055,History,6.0;6.3,5.3,7.9,6.66
S055,Geography,7.7;7.1,5.7,7.8,7.09
S056,Math,7.7;8.1,7.5,6.8,7.31
S056,Literature,8.5;7.8,8.0,8.5,8.26
S056,English,7.1;7.8,6.9,5.5,6.46
S056,Physics,8.3;5.6,6.7,7.8,7.24
S056,Chemistry,7.8;7.7,5.6,7.5,7.03
S056,Biology,8.3;6.4,5.9,8.0,7.21
S056,History,6.1;6.9,7.5,8.5,7.64
S056,Geography,7.6;7.8,5.7,6.3,6.53
S057,Math,9.5;9.4,8.2,9.0,8.9
S057,Literature,10.0;8.6,8.1,8.7,8.7
S057,English,8.3;8.8,9.4,9.3,9.11
S057,Physics,9.4;8.9,8.4,9.1,8.91
S057,Chemistry,8.2;9.4,8.7,9.9,9.24
S057,Biology,9.7;9.5,9.6,9.1,9.39
S057,History,8.9;9.9,9.4,8.6,9.06
S057,Geography,9.0;9.6,8.6,9.4,9.14
S058,Math,8.5;6.1,7.7,5.5,6.64
S058,Literature,7.7;6.5,6.3,6.9,6.79
S058,English,6.4;7.8,7.4,7.5,7.36
S058,Physics,5.6;6.8,7.6,5.7,6.39
S058,Chemistry,6.8;7.3,5.4,5.6,5.96
S058,Biology,6.7;8.0,6.7,6.6,6.84
S058,History,5.5;5.8,7.0,7.9,7.0
S058,Geography,6.9;8.1,6.7,8.4,7.66
S059,Math,3.5;5.8,5.1,5.4,5.1
S059,Literature,3.5;4.2,3.2,4.4,3.9
S059,English,4.2;6.1,3.9,4.6,4.56
S059,Physics,4.5;5.9,3.2,3.0,3.69
S059,Chemistry,4.7;3.3,5.8,5.0,4.94
S059,Biology,6.4;3.3,3.2,3.8,3.93
S059,History,6.1;3.3,5.4,5.7,5.33
S059,Geography,3.2;3.4,4.4,3.9,3.87
S060,Math,9.7;9.4,8.2,10.0,9.36
S060,Literature,8.7;8.1,9.6,8.6,8.83
S060,English,9.2;8.1,9.8,9.5,9.34
S060,Physics,8.7;9.2,8.6,10.0,9.3
S060,Chemistry,9.5;8.8,9.3,9.5,9.34
S060,Biology,8.4;8.5,8.8,9.5,9.0
S060,History,9.5;8.4,9.1,9.6,9.27
S060,Geography,8.2;8.2,9.7,9.3,9.1
S061,Math,5.6;7.6,6.9,7.4,7.03
S061,Literature,7.5;7.9,6.4,7.3,7.16
S061,English,8.2;8.4,6.0,8.1,7.56
S061,Physics,6.0;6.2,6.5,7.9,6.99
S061,Chemistry,7.7;7.8,6.5,5.4,6.39
S061,Biology,6.2;8.5,7.1,6.1,6.74
S061,History,7.9;8.4,6.9,6.1,6.91
S061,Geography,6.4;6.8,7.0,6.7,6.76
S062,Math,5.6;6.2,5.3,8.5,6.84
S062,Literature,6.3;6.7,6.5,5.2,5.94
S062,English,7.3;5.8,6.9,5.5,6.2
S062,Physics,7.2;6.6,5.0,8.2,6.91
S062,Chemistry,7.2;8.3,6.6,7.6,7.36
S062,Biology,8.3;6.6,5.9,6.2,6.47
S062,History,5.9;5.6,7.7,6.6,6.67
S062,Geography,7.6;7.7,5.4,6.2,6.39
S063,Math,5.1;4.6,5.3,6.0,5.47
S063,Literature,6.4;5.0,3.3,5.0,4.71
S063,English,5.7;3.8,5.4,2.7,4.06
S063,Physics,5.6;4.0,5.6,4.3,4.81
S063,Chemistry,5.1;6.4,5.4,5.7,5.63
S063,Biology,6.4;3.9,5.7,4.1,4.86
S063,History,4.1;5.1,3.1,5.2,4.43
S063,Geography,3.4;4.3,5.5,4.3,4.51
S064,Math,7.6;7.8,6.4,6.8,6.94
S064,Literature,6.7;8.1,7.0,7.8,7.46
S064,English,6.8;6.5,7.5,5.2,6.27
S064,Physics,6.3;8.1,7.0,6.5,6.84
S064,Chemistry,6.0;6.5,7.5,8.5,7.57
S064,Biology,6.5;5.5,5.2,7.7,6.5
S064,History,5.9;8.4,6.3,8.3,7.4
S064,Geography,7.9;7.0,7.0,8.3,7.69
S065,Math,9.8;9.8,9.9,10.0,9.91
S065,Literature,9.9;9.9,10.0,8.8,9.46
S065,English,9.5;8.9,8.0,9.6,9.03
S065,Physics,9.4;9.3,9.8,9.3,9.46
S065,Chemistry,8.9;8.6,8.2,9.6,8.96
S065,Biology,8.5;8.3,9.3,9.4,9.09
S065,History,8.6;9.7,9.3,9.7,9.43
S065,Geography,8.3;9.9,8.2,9.2,8.89
S066,Math,6.3;7.4,6.0,7.6,6.93
S066,Literature,7.6;6.4,5.2,5.4,5.8
S066,English,5.8;7.7,6.1,5.2,5.9
